"","Cultivar","RelTotalBeetles","RelTotalFlies","RelTotalTrueBugs","RelTotalHymenoptera","RelTotalButterflies"
"1","Annabelle",0,4,0,0,0
"2","Baby Lace",0,2,0,11,1
"3","Bella Anna",0,2,0,0,0
"4","Berry White",0,3,0,2,0
"5","Big Ben",0,0,0,15,0
"6","Bobo",0.5,6,0,7,0.5
"7","Bounty",0,1,1,6,0
"8","Brussels Lace",4,5,0,34,0
"9","Candy Apple",1.66666666666667,3.33333333333333,0,10.6666666666667,0.333333333333333
"10","Daimond Rogue",0,4,0,9,0
"11","Dharuma",0.5,13,0,29,0.5
"12","Dolly",0,9,0,16,0
"13","Early Evolution",0,1,0,0.5,0
"14","Fire & Ice",1,11,0,23,1
"15","Fire Light",1,9.66666666666667,1,13.3333333333333,0
"16","Floribunda",2,1,0,16,0
"17","Great Star",0,4.5,0,21,0
"18","Green Spire",0,0,0,79,1
"19","Haas Halo",3,3,0,30,0
"20","Hayes Starburst",0,2,0,0,0
"21","Honey Comb",0,2,0,48,0
"22","Incrediball",0.25,1.5,0,2.25,0
"23","Invincibelle",0,4,0,2,0
"24","Invincibelle Mini Mauvette",0,0,0,0,0
"25","Invincibelle Spirit",0,1,0,1.5,0
"26","Invincibelle Wee White",0,0,0,0,0
"27","Kyushu",0,13,0,41,0
"28","Lime Rickey",0,0,0,0,0
"29","Limelight",0,4.5,0,18,0
"30","Limelight Prime",0,8,0,3,0
"31","Little Lamb",0,5,0,18,0
"32","Little Lime",1,3.5,0,1.5,0
"33","Little Lime Punch",0,1,0,5,0
"34","Little Quick Fire",0,7,0,13,0.5
"35","Mega Pearl",0,11,0,24,0
"36","Phantom",0.5,3,0,23,0
"37","Pillow Talk",0,3,0,0,1
"38","Pink Diamond",3,5,1,57,0
"39","Pink Lady",0,5,0,13,0.5
"40","Pink Pincushion",0,0,0,2,0
"41","Pinky Winky",0,4.33333333333333,0,19.6666666666667,0
"42","Polar Ball",0,4,0,4,0
"43","Puffer Fish",0,11,0,17,0
"44","Quick Fire",0,10.6666666666667,0,15.3333333333333,0
"45","Quick Fire Fabulous",0,2,0,8,0
"46","Riven Lace",0,6,1,0,0
"47","Ruby",0,8.5,0,23,0
"48","Ryan Gainey",0,0,0,1,0
"49","Seaside Serenade Bar",0,2,0,9,0
"50","Silver Dollar",0,7,0,7,0
"51","Silver Leaf",0.5,3.5,0,18,0
"52","Strawberry Shake",0,8.5,0,6,0.5
"53","Strawberry Sundae",1.5,10,0.5,25,0
"54","Sweet Summer",0,11,0,18,2
"55","Tickled Pink",0.5,5,0,17,0
"56","Vanilla Strawberry",NA,6.5,0,17,1.5
"57","White Diamonds",6,7,0,34,3
"58","White Dome",1,4,1,48,0
"59","Zinfin Doll",0,2,0,3,0
