"","Trademark.Cultivar","Month","species1","days","Color"
"1","Baby Lace","August","Apis_mellifera",4,"White"
"2","Baby Lace","September","Apis_mellifera",8,"White"
"3","Baby Lace","October","Bombus_impatiens",1,"White"
"4","Big Ben","August","Apis_mellifera",1,"White"
"5","Big Ben","September","Apis_mellifera",12,"White"
"6","Big Ben","October","Apis_mellifera",9,"White"
"7","Brussels Lace","August","Apis_mellifera",11,"White"
"8","Brussels Lace","September","Apis_mellifera",6,"White"
"9","Brussels Lace","October","Lepidoptera",2,"White"
"10","Daimond Rogue","July","Coleoptera",4,"Pink-white"
"11","Daimond Rogue","August","Apis_mellifera",2,"Pink-white"
"12","Daimond Rogue","October","Apis_mellifera",1,"Pink-white"
"13","Dharuma","July","Diptera",11,"White"
"14","Dharuma","August","Apis_mellifera",1,"White"
"15","Dolly","July","Lepidoptera",1,"White"
"16","Dolly","August","Apis_mellifera",3,"White"
"17","Dolly","September","Apis_mellifera",3,"White"
"18","Fire & Ice","July","Wasp",6,"Pink-white"
"19","Fire & Ice","August","Apis_mellifera",2,"Pink-white"
"20","Fire Light","August","Coleoptera",1,"Pink"
"21","Fire Light","September","Apis_mellifera",2,"Pink"
"22","Fire Light","October","Agapostemon",1,"Pink"
"23","Floribunda","August","Apis_mellifera",8,"White"
"24","Floribunda","September","Syrphidae",8,"White"
"25","Floribunda","October","Apis_mellifera",3,"White"
"26","Great Star","August","Wasp",6,"White"
"27","Great Star","September","Apis_mellifera",9,"White"
"28","Great Star","October","Syrphidae",5,"White"
"29","Green Spire","August","Apis_mellifera",10,"Green-white"
"30","Green Spire","September","Apis_mellifera",10,"Green-white"
"31","Green Spire","October","Wasp",3,"Green-white"
"32","Honey Comb","August","Apis_mellifera",12,"White"
"33","Honey Comb","September","Bombus_impatiens",3,"White"
"34","Honey Comb","October","Bombus_impatiens",1,"White"
"35","Kyushu","August","Apis_mellifera",5,"White"
"36","Kyushu","September","Apis_mellifera",9,"White"
"37","Kyushu","October","Apis_mellifera",5,"White"
"38","Late","July","Coleoptera",1,"White"
"39","Late","August","Apis_mellifera",3,"White"
"40","Late","September","Apis_mellifera",8,"White"
"41","Late","October","Apis_mellifera",7,"White"
"42","Limelight","August","Bombus_impatiens",4,"Green-white"
"43","Limelight","September","Bombus_bimaculatus",1,"Green-white"
"44","Little Lamb","August","Bombus_impatiens",4,"White"
"45","Little Lamb","September","Wasp",1,"White"
"46","Little Lamb","October","Bombus_citrinus",1,"White"
"47","Little Lime","August","Lepidoptera",1,"Green-white"
"48","Little Quick Fire","July","Diptera",2,"Pink"
"49","Little Quick Fire","August","Apis_mellifera",5,"Pink"
"50","Little Quick Fire","September","Syrphidae",3,"Pink"
"51","Little Quick Fire","October","Syrphidae",2,"Pink"
"52","Mega Mindy","August","Apis_mellifera",5,"Pink"
"53","Mega Mindy","September","Bombus_impatiens",1,"Pink"
"54","Mega Pearl","August","Apis_mellifera",10,"Pink-white"
"55","Mega Pearl","September","Apis_mellifera",3,"Pink-white"
"56","Mega Pearl","October","Apis_mellifera",1,"Pink-white"
"57","Phantom","August","Apis_mellifera",6,"White"
"58","Phantom","September","Bombus_impatiens",2,"White"
"59","Pillow Talk","August","Diptera",1,"Pink-white"
"60","Pillow Talk","October","Coleoptera",1,"Pink-white"
"61","Pink Diamond","August","Apis_mellifera",12,"Pink"
"62","Pink Diamond","September","Apis_mellifera",4,"Pink"
"63","Pink Diamond","October","Bombus_impatiens",1,"Pink"
"64","Pink Lady","August","Wasp",1,"Pink-white"
"65","Pinky Winky","August","Apis_mellifera",11,"Pink-white"
"66","Pinky Winky","September","Apis_mellifera",11,"Pink-white"
"67","Pinky Winky","October","Syrphidae",3,"Pink-white"
"68","Polar Ball","August","Apis_mellifera",4,"White"
"69","Polar Ball","September","Apis_mellifera",3,"White"
"70","Quick Fire","July","Coleoptera",11,"Pink"
"71","Quick Fire","August","Wasp",11,"Pink"
"72","Quick Fire","September","Apis_mellifera",7,"Pink"
"73","Quick Fire","October","Syrphidae",4,"Pink"
"74","Ruby","August","Bombus_impatiens",4,"Pink"
"75","Ruby","September","Apis_mellifera",5,"Pink"
"76","Ruby","October","Apis_mellifera",2,"Pink"
"77","Silver Dollar","August","Bombus_impatiens",2,"White"
"78","Strawberry Shake","July","Diptera",1,"Pink-white"
"79","Strawberry Sundae","July","Wasp",1,"Pink-white"
"80","Strawberry Sundae","August","Lepidoptera",1,"Pink-white"
"81","Sweet Summer","August","Apis_mellifera",5,"White"
"82","Sweet Summer","September","Apis_mellifera",2,"White"
"83","Sweet Summer","October","Bombus_impatiens",1,"White"
"84","Tickled Pink","August","Apis_mellifera",3,"Pink-white"
"85","Tickled Pink","September","Diptera",1,"Pink-white"
"86","Unique","August","Bombus_impatiens",1,"White"
"87","Unique","October","Apis_mellifera",1,"White"
"88","Vanilla Strawberry","August","Bombus_impatiens",4,"Pink-white"
"89","Vanilla Strawberry","September","Andrena_milwaukeensis",1,"Pink-white"
"90","White Diamonds","July","Apis_mellifera",2,"White"
"91","White Diamonds","August","Apis_mellifera",1,"White"
"92","White Diamonds","September","Apis_mellifera",1,"White"
"93","White Moth","July","Lepidoptera",1,"White"
"94","White Moth","August","Apis_mellifera",1,"White"
