,Trademark.Cultivar,DaysRecordedInsectsPresent,DaysRecordedBlooming,PercentageInsectsPresent
27,Quick Fire,33,225,15%
14,Late,28,127,22%
25,Pinky Winky,25,108,23%
11,Green Spire,23,100,23%
2,Big Ben,20,90,22%
3,Brussels Lace,19,110,17%
9,Floribunda,19,120,16%
13,Kyushu,19,91,21%
10,Great Star,17,115,15%
23,Pink Diamond,17,108,16%
12,Honey Comb,16,80,20%
20,Mega Pearl,14,129,11%
1,Baby Lace,13,67,19%
5,Dharuma,12,63,19%
18,Little Quick Fire,12,134,9%
28,Ruby,11,65,17%
7,Fire & Ice,8,25,32%
21,Phantom,8,34,24%
32,Sweet Summer,8,91,9%
4,Daimond Rogue,7,186,4%
26,Polar Ball,7,35,20%
6,Dolly,6,56,11%
16,Little Lamb,6,85,7%
19,Mega Mindy,6,25,24%
15,Limelight,5,60,8%
35,Vanilla Strawberry,5,37,14%
36,White Diamonds,5,65,8%
8,Fire Light,4,49,8%
33,Tickled Pink,4,23,17%
22,Pillow Talk,2,45,4%
29,Silver Dollar,2,2,100%
31,Strawberry Sundae,2,7,29%
34,Unique,2,3,67%
37,White Moth,2,2,100%
17,Little Lime,1,1,100%
24,Pink Lady,1,1,100%
30,Strawberry Shake,1,12,8%
