original_image_file,cropped_image_file,Date,Tag Number,Tag Number 3,det_num,det_confidence,species1,prob1,Human_verified_spp,species2,prob2,species3,prob3,entropy,classification_precision,Species,Trademark/Cultivar,AscensionNumber,EYB_Inflorescence Type,RHS_InflorescentType,Flower Type,False Sepals,Color,SterileFloretLength(in),SterileFloretLength(cm),PanicleLength(in),AvgInflorescencesPerPanicle
Braatz_images\2019_08_02_done\10D\P8020998.JPG,P8020998_1.jpg,2019-08-02,D10,D10,1,0.9034,Wasp,100,Yes,Coleoptera,0,Sphecodes,0,0.0006,0.9575,Hydrangea paniculata,Daimond Rogue,17047,Half-open,0,Mop-like panicle,4,Pink-white,0,,0,
Braatz_images\2019_08_07_done\5A\P8071135.JPG,P8071135_1.jpg,2019-08-07,A5,A5,1,0.9093,Wasp,100,Yes,Coleoptera,0,Sphecodes,0,0.0035,0.9575,Hydrangea paniculata,Quick Fire,5079,Open,0,Lacy panicle,4,Pink,1.25,,4,
Braatz_images\2019_09_05_done\13B\P9052530.JPG,P9052530_1.jpg,2019-09-05,B13,B13,1,0.9021,Bombus_impatiens,91.9,Yes,Bombus_bimaculatus,3.6,Bombus_griseocollis,2.7,0.3864,0.9491,Hydrangea paniculata,Pinky Winky,7045,Dense,Dense,Lacy panicle,5,Pink-white,1.25,,11,
Braatz_images\2019_09_05_done\1D\P9052647.JPG,P9052647_1.jpg,2019-09-05,D1,D1,1,0.9098,Wasp,99.9,Yes,Syrphidae,0.1,Hyleoides,0,0.0068,0.9575,Hydrangea paniculata,Floribunda,87273-0,Open,Half-open,Lacy panicle,4,White,0,,0,243
Braatz_images\2019_09_26_done\18B\P9263679.JPG,P9263679_1.jpg,2019-09-26,B18,B18,1,0.9278,Wasp,100,,Coleoptera,0,Sphecodes,0,0.0003,0.9575,Hydrangea paniculata,Big Ben,1126,Dense,Half-open,Lacy panicle,4,White,1.5,,10,NA
Braatz_images\2019_09_26_done\18B\P9263680.JPG,P9263680_1.jpg,2019-09-26,B18,B18,1,0.9103,Wasp,100,,Coleoptera,0,Sphecodes,0,0.0004,0.9575,Hydrangea paniculata,Big Ben,1126,Dense,Half-open,Lacy panicle,4,White,1.5,,10,NA
Braatz_images\2019_09_26_done\18B\P9263793.JPG,P9263793_1.jpg,2019-09-26,B18,B18,1,0.9048,Coleoptera,99.9,,Wasp,0.1,Syrphidae,0,0.0108,0.9916,Hydrangea paniculata,Big Ben,1126,Dense,Half-open,Lacy panicle,4,White,1.5,,10,NA
Braatz_images\2019_09_30_done\1C\fly.png,fly_1.jpg,2019-09-30,C1,C1,1,0.9203,Syrphidae,99.8,,Diptera,0.2,Coleoptera,0,0.0211,0.9836,Hydrangea paniculata,Ruby,98053,Half-open,0,Mop-like panicle,NA,Pink,0,,0,46.2
Braatz_images\2019_09_30_done\4A\P9303829.JPG,P9303829_1.jpg,2019-09-30,A4,A4,1,0.9002,Bombus_impatiens,97.1,,Bombus_affinis,1.3,Bombus_bimaculatus,1.1,0.1674,0.9491,Hydrangea paniculata,White Diamonds,11045,Half-open,0,Mop-like panicle,4,White,2,,8,31
Braatz_images\2019_09_30_done\4A\P9303830.JPG,P9303830_1.jpg,2019-09-30,A4,A4,1,0.9042,Bombus_impatiens,96.7,,Bombus_bimaculatus,2.9,Bombus_affinis,0.2,0.1597,0.9491,Hydrangea paniculata,White Diamonds,11045,Half-open,0,Mop-like panicle,4,White,2,,8,31
Braatz_images\2019_09_30_done\4A\P9303831.JPG,P9303831_1.jpg,2019-09-30,A4,A4,1,0.9092,Bombus_impatiens,99.3,,Bombus_bimaculatus,0.6,Bombus_griseocollis,0,0.05,0.9491,Hydrangea paniculata,White Diamonds,11045,Half-open,0,Mop-like panicle,4,White,2,,8,31
