Cultivar,BugType,RelativeAbundance,Species,Flower Type 2,Flower Shape,Inflorescence Type
Annabelle,Beetle,0,Hydrangea arborescens,Mop,Mop,Dense
Baby Lace,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Bella Anna,Beetle,0,Hydrangea arborescens,Mop,Mop,Half-open
Berry White,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Big Ben,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Bobo,Beetle,0.5,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Bounty,Beetle,0,Hydrangea arborescens,Mop,Mop,Half-open
Brussels Lace,Beetle,4,Hydrangea paniculata,Lacy panicle,Lacy,Open
Candy Apple,Beetle,1.666666667,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Daimond Rogue,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Dharuma,Beetle,0.5,Hydrangea paniculata,Lacy panicle,Lacy,Open
Dolly,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Early Evolution,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Fire & Ice,Beetle,1,Hydrangea paniculata,Lacy panicle,Lacy,Open
Fire Light,Beetle,1,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Floribunda,Beetle,2,Hydrangea paniculata,Lacy panicle,Lacy,Open
Great Star,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Very dense
Green Spire,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Haas Halo,Beetle,3,Hydrangea arborescens,Lacy,Lacy,Open
Hayes Starburst,Beetle,0,Hydrangea arborescens,Mop,Mop,Very dense
Honey Comb,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Incrediball,Beetle,0.25,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Ruby,Beetle,0,Hydrangea arborescens,Mop,Mop,Very dense
Invincibelle Mini Mauvette,Beetle,0,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Spirit II,Beetle,0,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Wee White,Beetle,0,Hydrangea arborescens,Mop,Mop,Dense
Kyushu,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Lime Rickey,Beetle,0,Hydrangea arborescens,Mop,Mop,Half-open
Limelight,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Limelight Prime,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Little Lamb,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Little Lime,Beetle,1,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Little Lime Punch,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Little Quick Fire,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Mega Pearl,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Phantom,Beetle,0.5,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Pillow Talk,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Pink Diamond,Beetle,3,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Pink Lady,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Pink Pincushion,Beetle,0,Hydrangea arborescens,Lacy,Lacy,Half-open
Pinky Winky,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Polar Ball,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Puffer Fish,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Quick Fire,Beetle,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Quick Fire Fabulous,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Riven Lace,Beetle,0,Hydrangea arborescens,Lacy,Lacy,Half-open
Ruby,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Ryan Gainey,Beetle,0,Hydrangea arborescens,Mop,Mop,Dense
Seaside Serenade Bar Harbor,Beetle,0,Hydrangea arborescens,Mop,Mop,Dense
Silver Dollar,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Silver Leaf,Beetle,0.5,Hydrangea arborescens,Lacy,Lacy,Open
Strawberry Shake,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Strawberry Sundae,Beetle,1.5,Hydrangea paniculata,Mop-like panicle,Mop,Open
Sweet Summer,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Tickled Pink,Beetle,0.5,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Vanilla Strawberry,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
White Diamonds,Beetle,6,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
White Dome,Beetle,1,Hydrangea arborescens,Lacy,Lacy,Open
Zinfin Doll,Beetle,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Annabelle,Fly,4,Hydrangea arborescens,Mop,Mop,Dense
Baby Lace,Fly,2,Hydrangea paniculata,Lacy panicle,Lacy,Open
Bella Anna,Fly,2,Hydrangea arborescens,Mop,Mop,Half-open
Berry White,Fly,3,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Big Ben,Fly,0,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Bobo,Fly,6,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Bounty,Fly,1,Hydrangea arborescens,Mop,Mop,Half-open
Brussels Lace,Fly,5,Hydrangea paniculata,Lacy panicle,Lacy,Open
Candy Apple,Fly,3.333333333,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Daimond Rogue,Fly,4,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Dharuma,Fly,13,Hydrangea paniculata,Lacy panicle,Lacy,Open
Dolly,Fly,9,Hydrangea paniculata,Lacy panicle,Lacy,Dense
