Cultivar,Insect Richness,Species,Flower Type,Inflorescence Type
Annabelle,2,Hydrangea arborescens,Mop,Dense
Baby Lace,4,Hydrangea paniculata,Lacy panicle,Open
Bella Anna,3,Hydrangea arborescens,Mop,Half-open
Berry White,2,Hydrangea paniculata,Mop-like panicle,Half-open
Big Ben,1,Hydrangea paniculata,Lacy panicle,Dense
Bobo,5,Hydrangea paniculata,Mop-like panicle,Half-open
Bounty,3,Hydrangea arborescens,Mop,Half-open
Brussels Lace,5,Hydrangea paniculata,Lacy panicle,Open
Candy Apple,8,Hydrangea paniculata,Mop-like panicle,Dense
Daimond Rogue,4,Hydrangea paniculata,Mop-like panicle,Half-open
Dharuma,8,Hydrangea paniculata,Lacy panicle,Open
Dolly,3,Hydrangea paniculata,Lacy panicle,Dense
Early Evolution,4,Hydrangea paniculata,Lacy panicle,Dense
Fire & Ice,3,Hydrangea paniculata,Lacy panicle,Open
Fire Light,15,Hydrangea paniculata,Mop-like panicle,Dense
Floribunda,4,Hydrangea paniculata,Lacy panicle,Open
Great Star,7,Hydrangea paniculata,Lacy panicle,Very dense
Green Spire,4,Hydrangea paniculata,Lacy panicle,Open
Haas Halo,7,Hydrangea arborescens,Lacy,Open
Hayes Starburst,1,Hydrangea arborescens,Mop,Very dense
Honey Comb,4,Hydrangea paniculata,Lacy panicle,Open
Incrediball,8,Hydrangea arborescens,Mop,Dense
Invincibelle Ruby,2,Hydrangea arborescens,Mop,Very dense
Invincibelle Mini Mauvette,1,Hydrangea arborescens,Mop,Dense
Invincibelle Spirit II,5,Hydrangea arborescens,Mop,Dense
Invincibelle Wee White,1,Hydrangea arborescens,Mop,Dense
Kyushu,5,Hydrangea paniculata,Lacy panicle,Open
Lime Rickey,3,Hydrangea arborescens,Mop,Half-open
Limelight,6,Hydrangea paniculata,Mop-like panicle,Very dense
Limelight Prime,4,Hydrangea paniculata,Mop-like panicle,Half-open
Little Lamb,4,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime,5,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime Punch,2,Hydrangea paniculata,Mop-like panicle,Half-open
Little Quick Fire,6,Hydrangea paniculata,Lacy panicle,Open
Mega Pearl,8,Hydrangea paniculata,Mop-like panicle,Dense
Phantom,8,Hydrangea paniculata,Mop-like panicle,Half-open
Pillow Talk,2,Hydrangea paniculata,Mop-like panicle,Very dense
Pink Diamond,4,Hydrangea paniculata,Lacy panicle,Half-open
Pink Lady,6,Hydrangea paniculata,Mop-like panicle,Dense
Pink Pincushion,2,Hydrangea arborescens,Lacy,Half-open
Pinky Winky,9,Hydrangea paniculata,Lacy panicle,Half-open
Polar Ball,4,Hydrangea paniculata,Mop-like panicle,Very dense
Puffer Fish,5,Hydrangea paniculata,Mop-like panicle,Half-open
Quick Fire,9,Hydrangea paniculata,Lacy panicle,Open
Quick Fire Fabulous,3,Hydrangea paniculata,Mop-like panicle,Dense
Riven Lace,2,Hydrangea arborescens,Lacy,Half-open
Ruby,6,Hydrangea paniculata,Lacy panicle,Half-open
Ryan Gainey,1,Hydrangea arborescens,Mop,Dense
Seaside Serenade Bar Harbor,4,Hydrangea arborescens,Mop,Dense
Silver Dollar,3,Hydrangea paniculata,Mop-like panicle,Dense
Silver Leaf,6,Hydrangea arborescens,Lacy,Open
Strawberry Shake,9,Hydrangea paniculata,Mop-like panicle,Very dense
Strawberry Sundae,11,Hydrangea paniculata,Mop-like panicle,Open
Sweet Summer,4,Hydrangea paniculata,Mop-like panicle,Dense
Tickled Pink,8,Hydrangea paniculata,Lacy panicle,Half-open
Vanilla Strawberry,8,Hydrangea paniculata,Mop-like panicle,Dense
White Diamonds,7,Hydrangea paniculata,Mop-like panicle,Half-open
White Dome,4,Hydrangea arborescens,Lacy,Open
Zinfin Doll,3,Hydrangea paniculata,Mop-like panicle,Half-open
