Row Labels,Cultivar,Species,Flower Type,Inflorescence Type,Insect Richness
10C,Fire Light,Hydrangea paniculata,Mop-like panicle,Dense,5
10D,Daimond Rogue,Hydrangea paniculata,Mop-like panicle,Half-open,7
11C,Little Quick Fire,Hydrangea paniculata,Lacy panicle,Open,7
11D,Kyushu,Hydrangea paniculata,Lacy panicle,Open,10
11E,Seaside Serenade Bar Harbor,Hydrangea arborescens,Mop,Dense,4
11F,Invincibelle Ruby,Hydrangea arborescens,Mop,Very dense,5
12A,Candy Apple,Hydrangea paniculata,Mop-like panicle,Dense,8
12C,Polar Ball,Hydrangea paniculata,Mop-like panicle,Very dense,8
12D,Phantom,Hydrangea paniculata,Mop-like panicle,Half-open,7
12E,Invincibelle Mini Mauvette,Hydrangea arborescens,Mop,Dense,2
12F,White Dome,Hydrangea arborescens,Lacy,Open,11
13B,Pinky Winky,Hydrangea paniculata,Lacy panicle,Half-open,5
13D,Ruby,Hydrangea paniculata,Mop-like panicle,Half-open,11
15B,Zinfin Doll,Hydrangea paniculata,Mop-like panicle,Half-open,5
16B,Dolly,Hydrangea paniculata,Lacy panicle,Dense,9
16D,Green Spire,Hydrangea paniculata,Lacy panicle,Open,4
17D,Pink Lady,Hydrangea paniculata,Mop-like panicle,Dense,8
18D,Bobo,Hydrangea paniculata,Mop-like panicle,Half-open,10
19D,Puffer Fish,Hydrangea paniculata,Mop-like panicle,Half-open,10
1A,Strawberry Shake,Hydrangea paniculata,Mop-like panicle,Very dense,9
1C,Angel's Blush,Hydrangea paniculata,Lacy panicle,Unknown,5
1D,Floribunda,Hydrangea paniculata,Lacy panicle,Open,7
20D,Early Evolution,Hydrangea paniculata,Lacy panicle,Dense,2
22B,Limelight Prime,Hydrangea paniculata,Mop-like panicle,Half-open,5
26B,Berry White,Hydrangea paniculata,Mop-like panicle,Half-open,6
2A,Baby Lace,Hydrangea paniculata,Lacy panicle,Open,2
2D,Little Lime,Hydrangea paniculata,Mop-like panicle,Very dense,5
3A,Sweet Summer,Hydrangea paniculata,Mop-like panicle,Dense,13
3D,Vanilla Strawberry,Hydrangea paniculata,Mop-like panicle,Dense,19
3E,Bounty,Hydrangea arborescens,Mop,Half-open,4
4A,White Diamonds,Hydrangea paniculata,Mop-like panicle,Half-open,15
4C,Little Lamb,Hydrangea paniculata,Mop-like panicle,Very dense,9
4D,Great Star,Hydrangea paniculata,Lacy panicle,Very dense,6
4E,Hayes Starburst,Hydrangea arborescens,Mop,Very dense,1
4F,Haas Halo,Hydrangea arborescens,Lacy,Open,11
5A,Quick Fire,Hydrangea paniculata,Lacy panicle,Open,11
5B,Dharuma,Hydrangea paniculata,Lacy panicle,Open,13
5D,Brussels Lace,Hydrangea paniculata,Lacy panicle,Open,12
5E,Annabelle,Hydrangea arborescens,Mop,Dense,3
5F,Bella Anna,Hydrangea arborescens,Mop,Half-open,3
6A,Honey Comb,Hydrangea paniculata,Lacy panicle,Open,5
6D,Strawberry Sundae,Hydrangea paniculata,Mop-like panicle,Open,18
6E,Riven Lace,Hydrangea arborescens,Lacy,Half-open,4
6F,Invincibelle Spirit II,Hydrangea arborescens,Mop,Dense,3
7A,Tickled Pink,Hydrangea paniculata,Lacy panicle,Half-open,6
7D,Pink Diamond,Hydrangea paniculata,Lacy panicle,Half-open,11
8A,Mega Pearl,Hydrangea paniculata,Mop-like panicle,Dense,9
8D,Lime Light,Hydrangea paniculata,Mop-like panicle,Unknown,9
9A,Fire & Ice,Hydrangea paniculata,Lacy panicle,Open,15
9B,Silver Dollar,Hydrangea paniculata,Mop-like panicle,Dense,7
9C,Pillow Talk,Hydrangea paniculata,Mop-like panicle,Very dense,4
9F,Incrediball,Hydrangea arborescens,Mop,Dense,5
