original_image_file,cropped_image_file,det_num,det_confidence,species1,prob1,species2,prob2,species3,prob3,entropy,classification_precision
Braatz_images\20-07-10_done\A1\Q7106533.JPG,Q7106533_1.jpg,1,0.2548,Lepidoptera,78.1,Xylocopa_aestuans,12.9,Xylocopa_latipes,3.2,0.8479,0.9686
Braatz_images\20-07-10_done\A1\Q7106533.JPG,Q7106533_2.jpg,2,0.2121,Apis_cerana,15.3,Apis_dorsata,11.0,Bombus_ardens,10.8,3.2117,0.9488
Braatz_images\20-07-10_done\A1\Q7106534.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\A1-1\Q7106535.JPG,Q7106535_1.jpg,1,0.3432,Osmia_bicolor,21.6,Bombus_ardens,16.6,Melissodes_bimaculatus,13.7,2.7949,0.9160
Braatz_images\20-07-10_done\A1-1\Q7106535.JPG,Q7106535_2.jpg,2,0.2533,Pseudopanurgus,44.7,Bombus_occidentalis,19.9,Apis_cerana,5.9,2.2343,0.8641
Braatz_images\20-07-10_done\A1-1\Q7106536.JPG,Q7106536_1.jpg,1,0.7279,Diptera,99.5,Syrphidae,0.5,Coleoptera,0.0,0.0303,0.9755
Braatz_images\20-07-10_done\A1-1\Q7106537.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\A11\Q7106552.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\A11\Q7106553.JPG,Q7106553_1.jpg,1,0.8570,Bombus_affinis,100.0,Bombus_vagans_sandersoni,0.0,Bombus_hypocrita,0.0,0.0004,0.9677
Braatz_images\20-07-10_done\A11\Q7106554.JPG,Q7106554_1.jpg,1,0.8148,Wasp,94.5,Syrphidae,3.6,Coleoptera,0.9,0.2832,0.9575
Braatz_images\20-07-10_done\A11\Q7106554.JPG,Q7106554_2.jpg,2,0.3015,Hylaeus_leptocephalus,98.0,Lasioglossum,0.8,Hylaeus,0.6,0.1338,0.8440
Braatz_images\20-07-10_done\A11\Q7106555.JPG,Q7106555_1.jpg,1,0.8201,Wasp,99.1,Hylaeus,0.7,Sphecodes,0.1,0.0601,0.9575
Braatz_images\20-07-10_done\A11\Q7106556.JPG,Q7106556_1.jpg,1,0.8243,Wasp,98.4,Syrphidae,1.6,Hylaeus,0.0,0.0867,0.9575
Braatz_images\20-07-10_done\A11\Q7106557.JPG,Q7106557_1.jpg,1,0.7245,Syrphidae,98.5,Wasp,1.1,Diptera,0.3,0.0872,0.9836
Braatz_images\20-07-10_done\A11\Q7106558.JPG,Q7106558_1.jpg,1,0.7276,Wasp,94.1,Syrphidae,5.9,Meliponini,0.0,0.2252,0.9575
Braatz_images\20-07-10_done\A11\Q7106559.JPG,Q7106559_1.jpg,1,0.6572,Halictus_tripartitus,64.6,Lasioglossum,32.9,Hylaeus_leptocephalus,0.8,0.7955,0.7959
Braatz_images\20-07-10_done\A11\Q7106560.JPG,Q7106560_1.jpg,1,0.6213,Lasioglossum,71.2,Halictus_tripartitus,18.9,Ceratina,5.3,0.9250,0.9521
Braatz_images\20-07-10_done\A11\Q7106561.JPG,Q7106561_1.jpg,1,0.6118,Hylaeus_leptocephalus,100.0,Hylaeus,0.0,Lasioglossum,0.0,0.0020,0.8440
Braatz_images\20-07-10_done\A11\Q7106561.JPG,Q7106561_2.jpg,2,0.4024,Halictus,23.5,Perdita,17.0,Halictus_tripartitus,11.6,2.4876,0.8217
Braatz_images\20-07-10_done\A11\Q7106562.JPG,Q7106562_1.jpg,1,0.6055,Halictus_tripartitus,62.6,Meliponini,26.1,Lasioglossum,6.3,1.0387,0.7959
Braatz_images\20-07-10_done\A11\Q7106563.JPG,Q7106563_1.jpg,1,0.7163,Coleoptera,95.6,Syrphidae,2.9,Agapostemon_splendens,0.6,0.2356,0.9916
Braatz_images\20-07-10_done\A11\Q7106564.JPG,Q7106564_1.jpg,1,0.6348,Coleoptera,96.3,Wasp,2.1,Syrphidae,1.2,0.2008,0.9916
Braatz_images\20-07-10_done\A11\Q7106565.JPG,Q7106565_1.jpg,1,0.7741,Lasioglossum,94.9,Andrena,2.2,Halictus_rubicundus,1.3,0.2732,0.9521
Braatz_images\20-07-10_done\A11\Q7106566.JPG,Q7106566_1.jpg,1,0.7719,Lasioglossum,91.6,Halictus_ligatus,6.1,Halictus,1.1,0.3641,0.9521
Braatz_images\20-07-10_done\A11\Q7106567.JPG,Q7106567_1.jpg,1,0.7874,Lasioglossum,53.4,Halictus_rubicundus,39.0,Halictus_ligatus,6.6,0.9359,0.9521
Braatz_images\20-07-10_done\A11\Q7106567.JPG,Q7106567_2.jpg,2,0.5864,Hylaeus,25.3,Lasioglossum,19.5,Hylaeus_modestus,12.3,2.2089,0.9337
Braatz_images\20-07-10_done\A11\Q7106568.JPG,Q7106568_1.jpg,1,0.8773,Apis_mellifera,99.8,Apis_cerana,0.1,Syrphidae,0.0,0.0159,0.9707
Braatz_images\20-07-10_done\A11\Q7106569.JPG,Q7106569_1.jpg,1,0.8498,Apis_mellifera,97.1,Apis_cerana,2.2,Osmia_bicornis,0.2,0.1688,0.9707
Braatz_images\20-07-10_done\A11\Q7106569.JPG,Q7106569_2.jpg,2,0.3999,Eucera,43.5,Thygater,26.8,Coleoptera,23.4,1.3555,0.9029
Braatz_images\20-07-10_done\A11\Q7106570.JPG,Q7106570_1.jpg,1,0.5945,Coleoptera,69.9,Diptera,11.4,Apis_cerana,4.4,1.3222,0.9916
Braatz_images\20-07-10_done\A11\Q7106571.JPG,Q7106571_1.jpg,1,0.2154,Meliponini,85.1,Anthidium_oblongatum,5.1,Habropoda,1.2,0.8339,0.9634
Braatz_images\20-07-10_done\A11\Q7106572.JPG,Q7106572_1.jpg,1,0.8305,Syrphidae,99.9,Diptera,0.1,Xylocopa_virginica,0.0,0.0104,0.9836
Braatz_images\20-07-10_done\A11\Q7106573.JPG,Q7106573_1.jpg,1,0.8352,Syrphidae,100.0,Diptera,0.0,Xylocopa_virginica,0.0,0.0038,0.9836
Braatz_images\20-07-10_done\A11\Q7106574.JPG,Q7106574_1.jpg,1,0.7796,Bombus_affinis,100.0,Bombus_melanopygus,0.0,Bombus_impatiens,0.0,0.0001,0.9677
Braatz_images\20-07-10_done\A11\Q7106575.JPG,Q7106575_1.jpg,1,0.3018,Perdita,43.5,Lepidoptera,26.1,Coleoptera,9.0,1.8405,0.9145
Braatz_images\20-07-10_done\A11\Q7106576.JPG,Q7106576_1.jpg,1,0.6681,Bombus_affinis,26.7,Bombus_melanopygus,19.0,Bombus_rufocinctus,11.4,2.3613,0.9677
Braatz_images\20-07-10_done\A11\Q7106576.JPG,Q7106576_2.jpg,2,0.2991,Coleoptera,39.5,Perdita,12.9,Meliponini,7.3,2.1678,0.9916
Braatz_images\20-07-10_done\A11\Q7106577.JPG,Q7106577_1.jpg,1,0.7919,Bombus_affinis,100.0,Anthophora_bomboides,0.0,Bombus_terricola,0.0,0.0021,0.9677
Braatz_images\20-07-10_done\A11\Q7106577.JPG,Q7106577_2.jpg,2,0.4383,Perdita,45.9,Hylaeus_leptocephalus,20.7,Wasp,13.3,1.6347,0.9145
Braatz_images\20-07-10_done\A11\Q7106578.JPG,Q7106578_1.jpg,1,0.6852,Halictus_tripartitus,87.8,Halictus_ligatus,9.2,Halictus,1.5,0.4605,0.7959
Braatz_images\20-07-10_done\A11\Q7106579.JPG,Q7106579_1.jpg,1,0.8775,Wasp,85.5,Hylaeus,12.0,Hyleoides,0.7,0.5317,0.9575
Braatz_images\20-07-10_done\A11\Q7106580.JPG,Q7106580_1.jpg,1,0.8639,Wasp,86.9,Hylaeus,6.4,Syrphidae,3.3,0.5965,0.9575
Braatz_images\20-07-10_done\A11\Q7106581.JPG,Q7106581_1.jpg,1,0.7489,Wasp,70.9,Syrphidae,26.4,Nomada,2.1,0.7114,0.9575
Braatz_images\20-07-10_done\A11\Q7106581.JPG,Q7106581_2.jpg,2,0.3395,Hylaeus,37.9,Hylaeus_modestus,19.5,Meliponini,13.4,1.9259,0.9337
Braatz_images\20-07-10_done\A11\Q7106582.JPG,Q7106582_1.jpg,1,0.3137,Xylocopa,37.1,Xylocopa_latipes,11.3,Xylocopa_micans,6.7,2.6547,0.9092
Braatz_images\20-07-10_done\A11\Q7106583.JPG,Q7106583_1.jpg,1,0.6692,Epeolus,44.5,Syrphidae,23.6,Brachymelecta,16.5,1.5224,0.9331
Braatz_images\20-07-10_done\A11\Q7106584.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\A11\Q7106585.JPG,Q7106585_1.jpg,1,0.7826,Bombus_affinis,99.6,Bombus_perplexus,0.2,Bombus_vagans_sandersoni,0.1,0.0292,0.9677
Braatz_images\20-07-10_done\A11\Q7106586.JPG,Q7106586_1.jpg,1,0.5200,Trachusa,43.7,Ceratina,20.7,Paranthidium,20.5,1.4518,0.9030
Braatz_images\20-07-10_done\A11\Q7106587.JPG,Q7106587_1.jpg,1,0.6926,Hylaeus,87.8,Ceratina,3.9,Wasp,3.1,0.5905,0.9337
