Cultivar,shannon,abundance,richness,days,Photo_insect_count
Annabelle,0.6931472,4,2,3,
Baby Lace,0.3330448,14,4,2,82
Bella Anna,0,2,3,3,
Berry White,0.8958797,5,2,3,
Big Ben,0.9276173,15,1,7,521
Bobo,1.0126113,14,5,3,
Bounty,0.6931472,8,3,3,
Brussels Lace,1.579459,43,5,4,287
Candy Apple,0.9802899,16,8,3,
Daimond Rogue,0.6516739,13,4,3,58
Dharuma,0.8397249,43,8,3,458
Dolly,1.2569249,25,3,1,23
Early Evolution ,0.1732868,1.5,4,3,
Fire & Ice,1.8356357,36,3,1,129
Fire Light,1.1404776,25,15,1,19
Floribunda,1.1065032,19,4,5,286
Great Star,1.1731406,25.5,7,7,216
Green Spire,1.2637924,80,4,3,251
Haas Halo,0.5959298,36,7,3,
Hayes Starburst,0,2,1,3,
Honey Comb,0.9788602,50,4,4,322
Incrediball,0.4193734,4,8,3,
Incredibelle Ruby,0.6648307,6,2,3,
Invincibelle Spirit,0.2772589,2.5,5,3,
Invincibelle Mini Mauvette,0,0,1,3,
Invincibelle Wee White,0,0,1,3,261
Kyushu,1.4416311,54,5,5,
Late 'Tardiva',,,,,209
Lime Rickey,0,0,3,3,
Limelight,1.0741606,22.5,6,1,44
Limelight Prime,0.4925454,11,4,3,
Little Lamb,1.4686503,23,4,2,57
Little Lime,0.8440066,6,5,3,1
Little Lime Punch,0.2502012,6,2,3,
Little Quick Fire,1.2018749,20.5,6,3,128
Mega Pearl,1.1663076,35,8,4,164
Phantom,0.8995531,26.5,8,2,55
Pillow Talk,0.5493061,4,2,3,7
Pink Diamond,1.561319,66,4,2,155
Pink Lady,1.0919433,18.5,6,3,2
Pink Pincushion ,0,2,2,3,
Pinky Winky,1.1124984,24,9,8,586
Polar Ball,0.6770126,8,4,3,37
Puffer Fish,0.8479627,28,5,3,
Quick Fire,1.4234023,26,9,11,818
Quick Fire Fabulous,0.7227412,10,3,3,
Riven Lace,1.0691665,7,2,3,
Ruby / Angel's Blush,1.2143702,31.5,6,3,73
Ryan Gainey,0,1,1,3,
Seaside Serenade Bar Harbor,0.1500415,11,4,3,
Silver Dollar,1.4059249,14,3,3,15
Strawberry Shake,0.631928,15,9,3,3
Strawberry Sundae,1.1696059,37,11,2,14
Sweet Summer,1.4549944,31,4,2,63
Tickled Pink,0.9163971,22.5,8,1,62
Vanilla Strawberry,0.9056212,25,8,3,33
White Diamonds,1.0286422,50,7,3,54
White Dome,0.7926512,54,4,3,
Zinfin Doll,0.5364793,5,3,3,
