Trademark/Cultivar,Surface area (m^2)
Angel's Blush,1.961971359
Annabelle,36.19114737
BELLA ANNA,3.409127919
Berry White,5.853484799
Bobo,3.365551642
Bounty,17.105972
Brussels Lace,6.814202179
Candy Apple,1.037736917
Daimond Rogue,9.339632255
Dharuma,0.907291958
Dolly,2.991424525
Fire & Ice,6.283185307
Fire Light,8.703207661
Floribunda,20.58434338
Great Star,13.63651168
Green Spire,16.60379068
Haas Halo,9.339632255
Hayes Starburst,6.283185307
Honey Comb,15.0953527
Incrediball,14.19188268
Incrediball Blush,3.409127919
Invincibelle Mini Maueve,1.005309649
Invincibelle Ruby,2.144386052
Invincibelle Spirit II,10.26185218
Invincibelle Wee White,39.26990817
Kyushu,9.339632255
Late,0.49049284
Lime Light,14.5931754
LIME RICKEY,21.60195325
Limelight Prime,1.961971359
Little Lamb,9.732837259
Little Lime,2.203208478
Little Lime Punch,3.64829385
Little Quick Fire,4.785349454
Mega Pearl,4.708933228
Phantom,32.85288611
Pillow Talk,6.485855732
Pink Diamond,54.34790671
Pink Lady,6.015675551
Pink Pincushion,3.895567099
Pinky Winky,2.898693171
Polar Ball,5.853484799
Pufferfish,2.334908064
Quick Fire,8.486851767
Quick Fire Fabulous,4.414435558
Riven Lace,12.3150432
Ruby,13.1703408
Ryan Gainey,10.61858317
Seaside Seranade Bar,8.309512569
Silver Dollar,1.698973307
Silver Leaf,5.399474897
Strawberry Shake,4.702245406
Strawberry Sundae,9.711563147
Sweet Summer,8.309512569
Tickled Pink,4.217837077
Vanilla Strawberry,67.72809823
White Diamonds,9.047786842
Zinfin Doll,1.508592792
