Trademark.Cultivar,Species,Flower type,Color,BloomStart,BloomEnd,Height (ft),Spread (ft),Sun ,Water,Maintenance,Source,Note
Baby Lace,Hydrangea paniculata,Lacy panicle,White,7/1/2020,9/1/2020,3 to 4,3 to 4,Full sun to part shade ,Medium,Medium ,https://www.missouribotanicalgarden.org,
Big Ben,Hydrangea paniculata,Lacy panicle,White,8/1/2020,11/1/2020,19,10,Full sun to full shade,Medium,Medium ,http://plants.beechwood-gardens.com/12130013/Plant/11837/Big_Ben_Hydrangea/,
Brussels Lace,Hydrangea paniculata,Lacy panicle,White,7/1/2020,10/1/2020,5,6,Full sun to part shade,Medium high,N/A,https://www.chicagobotanic.org/plantcollections/plantfinder/hydrangea_paniculata_brussels_lace--brussels_lace_panicle_hydrangea,
Candy Apple,Hydrangea paniculata,Mop-like panicle,White,6/1/2020,10/1/2020,5,5,Full sun to full shade,,N/A,https://www.gertens.com/candy-apple-hydrangea,
Dharuma,Hydrangea paniculata,Lacy panicle,White,7/1/2020,9/1/2020,3 to 4,3 to 4,Full sun to part shade,Medium,N/A,https://www.northshoreplantclub.com/plant?id=7267,
Fire Light,Hydrangea paniculata,Mop-like panicle,Pink,7/2/2020,9/1/2020,6 to 8 ,6 to 8,Sun to part shade,N/A,N/A,https://www.whiteflowerfarm.com/63163-product.html,
Floribunda,Hydrangea paniculata,Lacy panicle,White,8/1/2020,10/1/2020,8 to 13,5 to 8,Full sun to part shade,Moist but well-drained,N/A,https://www.rhs.org.uk/plants/98580/hydrangea-paniculata-floribunda/details,Could not find a bloom time so used our own data for it 
Great Star,Hydrangea paniculata,Lacy panicle,White,7/1/2020,9/1/2020,6 to 7,7 to 8 ,Full sun to part shade,Medium,Medium ,https://www.missouribotanicalgarden.org,
Green Spire,Hydrangea paniculata,Lacy panicle,Green-white,8/1/2020,10/1/2020,6 to 10 ,6 to 10 ,Full sun to part sun ,Medium ,Low ,,Could not find a bloom time so used our own data for it 
Haas Halo,Hydrangea arborescens,Lacy,White,6/1/2020,7/1/2020,7,7,Full sun to full shade ,N/A,N/A,https://mtcubacenter.org/trials/wild-hydrangea-for-the-mid-atlantic-region/hydrangea-arborescens-haas-halo/,
Honey Comb,Hydrangea paniculata,Lacy panicle,White,7/1/2020,10/1/2020,15,7,Full sun to full shade,N/A,Medium ,http://plants.beechwood-gardens.com/12130013/Plant/16553/Honeycomb_Hydrangea/,"Could not find exact bloom time, used our data "
Incrediball,Hydrangea arborescens,Mop,White,7/1/2020,8/1/2020,4 to 5,4 to 5,Full sun to part sun ,N/A,N/A,https://www.thespruce.com/description-of-incrediball-hydrangeas-2132707,"Could not find exact bloom time, used our data "
Kyushu,Hydrangea paniculata,Lacy panicle,White,5/1/2020,10/1/2020,8,N/A,Full sun to part shade,Medium,N/A,https://www.chicagobotanic.org/plantcollections/plantfinder/hydrangea_paniculata_kyushu--kyushu_panicle_hydrangea,
Late / Tardiva,Hydrangea paniculata,Lacy panicle,White,7/1/2020,9/1/2020,8 to 12 ,7 to 10 ,Full sun to part shade,Medium,Medium ,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d360,
Little Quick Fire,Hydrangea paniculata,Lacy panicle,Pink,7/1/2020,10/1/2020,3 to 5,3 to 5,Full sun to part sun ,Medium,N/A,https://hydrangea.com/products/little-quick-fire-panicle-hydrangea?srsltid=AfmBOooNVO-RW1s19arvwHK3wJkCyUnjN03YejaKTVPZG5GIOhFAuDJd,
Mega Pearl,Hydrangea paniculata,Mop-like panicle,Pink-white,7/1/2020,10/1/2020,6 to 8 ,6 to 8 ,Full sun ,Medium,N/A,https://naturehills.com/products/hydrangea-mega-pearl?srsltid=AfmBOoqtkNbCaP9iB6-2A1Kswx4540onK_3L41O7YiUTRkcuVu7YItxr,Could not find exact date so used our data 
Phantom,Hydrangea paniculata,Mop-like panicle,White,7/1/2020,10/1/2020,6,6,Full sun to part shade,Medium,N/A,https://www.chicagobotanic.org/plantcollections/plantfinder/hydrangea_paniculata_phantom--phantom_panicle_hydrangea,
Pink Diamond,Hydrangea paniculata,Lacy panicle,Pink,7/1/2020,9/1/2020,8 to 15,8 to 15,Full sun to part shade,Medium,Medium ,https://www.missouribotanicalgarden.org,
Pinky Winky,Hydrangea paniculata,Lacy panicle,Pink-white,7/1/2020,9/1/2020,6 to 8 ,5 to 6,Full sun to part shade,Medium,Medium ,https://www.missouribotanicalgarden.org,
Quick Fire,Hydrangea paniculata,Lacy panicle,Pink,7/1/2020,10/1/2020,6 to 8 ,6 to 8 ,Sun to part shade,,N/A,https://www.petittigardencenter.com/quick-fire-a-panicle-hydrangea-variety-spotlight/,End bloom time wasn't available online; used our data for that 
Ruby / Angel's Blush,Hydrangea paniculata,Mop-like panicle,Pink,7/1/2020,10/1/2020,8 to 12 ,6 to 10 ,Full sun to part sun ,N/A,N/A,https://www.monrovia.com/angels-blush-hydrangea.html?srsltid=AfmBOorQcKnkdvItwFKmF1ruxmKdZTR2EsF7335iSOcWRE1LpMs9XAxD,Exact dates weren't available so used our data 
Strawberry Shake,Hydrangea paniculata,Mop-like panicle,Pink-white,7/1/2020,8/1/2020,4 to 5,4,Full sun to part shade,N/A,N/A,https://www.monrovia.com/strawberry-shake-hydrangea.html?srsltid=AfmBOorS12CObULKHM2qOzTYRexOuJVz_6ejDoI829IMDzQKGfBb2NOQ,Exact dates weren't available so used our data 
Strawberry Sundae,Hydrangea paniculata,Mop-like panicle,Pink-white,7/1/2020,9/1/2020,4 to 5,3 to 4,Full sun to part sun ,Medium,N/A,https://www.southernliving.com/garden/flowers/strawberry-sundae-hydrangea,
