,Trademark.Cultivar,Month,DaysinMonth,DaysRecordedInsectsPresent,DaysRecordedBlooming,AvgDaysInsects,AvgDaysBlooming,FirstDay20197.17.2019,LastDay2019,DaysPossible2019,FirstDay2020,LastDay2020,DaysPossible2020,FirstDay2021,LastDay2021(only surveyed til8/19/2021),DaysPossible2021,Color,Flower type,Notes
1,Baby Lace,August,31,4,14,1.333333333,4.666666667,,,0,8/26/2020,8/31/2020,5,8/10/2021,8/19/2021,9,White,Lacy panicle,
2,Baby Lace,September,30,8,35,2.666666667,11.66666667,9/19/2019,9/30/2019,11,9/1/2020,9/25/2020,24,,,0,White,Lacy panicle,
3,Baby Lace,October,30,1,18,0.5,9,10/1/2019,10/19/2019,18,,,0,,,0,White,Lacy panicle,
4,Big Ben,August,31,1,3,0.333333333,1,,,0,8/28/2020,8/31/2020,3,,,0,White,Lacy panicle,
5,Big Ben,September,30,12,54,4,18,9/5/2019,9/30/2019,25,9/1/2020,9/30/2020,29,,,0,White,Lacy panicle,
6,Big Ben,October,30,7,33,3.5,16.5,10/1/2019,10/19/2019,18,10/1/2020,10/16/2020,15,,,0,White,Lacy panicle,
7,Brussels Lace,August,31,11,34,3.666666667,11.33333333,8/23/2019,8/31/2019,8,8/19/2020,8/31/2020,12,8/5/2021,8/19/2021,14,White,Lacy panicle,
8,Brussels Lace,September,30,6,58,2,19.33333333,9/1/2019,9/30/2019,29,9/1/2020,9/30/2020,29,,,0,White,Lacy panicle,
9,Brussels Lace,October,30,2,18,0.666666667,9,10/1/2019,10/19/2019,18,,,0,,,0,White,Lacy panicle,
10,Daimond Rogue,July,31,4,35,1.333333333,11.66666667,7/17/2019,7/31/2019,14,7/10/2020,7/31/2020,21,,,0,Pink-white,Mop-like panicle,
11,Daimond Rogue,August,31,2,50,0.666666667,16.66666667,8/1/2019,8/31/2019,30,8/1/2020,8/21/2020,20,,,0,Pink-white,Mop-like panicle,
,Daimond Rogue,September,30,0,87,0,29,9/1/2019,9/30/2019,29,9/1/2020,9/30/2020,29,9/1/2021,9/30/2021,29,,,
12,Daimond Rogue,October,30,1,14,0.333333333,7,10/1/2019,10/15/2019,14,,,0,,,0,Pink-white,Mop-like panicle,
13,Dharuma,July,31,11,44,3.666666667,14.66666667,7/11/2019,7/31/2019,20,7/10/2020,7/27/2020,17,7/9/2021,7/16/2021,7,White,Lacy panicle,
14,Dharuma,August,31,1,19,0.333333333,6.333333333,8/1/2019,8/20/2019,19,,,0,,,0,White,Lacy panicle,
15,Dolly,July,31,1,15,0.333333333,5,,,0,,,0,7/16/2021,7/31/2021,15,White,Lacy panicle,
16,Dolly,August,31,3,13,1,4.333333333,8/2/2019,8/3/2019,1,8/28/2020,8/31/2020,3,8/1/2021,8/10/2021,9,White,Lacy panicle,
17,Dolly,September,30,2,28,0.666666667,9.333333333,,,0,9/1/2020,9/23/2020,22,7/9/2021,7/15/2021,6,White,Lacy panicle,
18,Fire & Ice,July,31,6,19,2,6.333333333,7/19/2019,7/31/2019,12,7/20/2020,7/27/2020,7,,,0,Pink-white,Lacy panicle,
19,Fire & Ice,August,31,2,6,0.666666667,2,8/1/2019,8/7/2019,6,,,0,,,0,Pink-white,Lacy panicle,
20,Fire Light,August,31,1,8,0.333333333,2.666666667,8/23/2019,8/31/2019,8,,,0,,,0,Pink,Mop-like panicle,
21,Fire Light,September,30,2,32,0.666666667,10.66666667,9/1/2019,9/30/2019,29,9/21/2020,9/23/2020,2,8/5/2021,8/6/2021,1,Pink,Mop-like panicle,
22,Fire Light,October,30,1,9,0.333333333,4.5,10/1/2019,10/10/2019,9,,,0,,,0,Pink,Mop-like panicle,
23,Floribunda,August,31,8,27,2.666666667,9,8/23/2019,8/31/2019,8,8/21/2020,8/31/2020,10,8/10/2021,8/19/2021,9,White,Lacy panicle,
24,Floribunda,September,30,8,58,2.666666667,19.33333333,9/1/2019,9/30/2019,29,9/1/2020,9/30/2020,29,,,0,White,Lacy panicle,
25,Floribunda,October,30,3,35,1,17.5,10/1/2019,10/23/2019,22,10/1/2020,10/14/2020,13,,,0,White,Lacy panicle,
26,Great Star,August,31,3,23,1,7.666666667,8/28/2019,8/31/2019,3,8/28/2020,8/31/2020,3,8/2/2021,8/19/2021,17,White,Lacy panicle,
27,Great Star,September,30,9,58,3,19.33333333,9/1/2019,9/30/2019,29,9/1/2020,9/30/2020,29,,,0,White,Lacy panicle,
