,Date,Month,Tag.Number,Collector,Cultivar ,Species,AscensionNumber,Inflorescence.Type,False.Sepals,Flower.Type,Flower.shape,PaniclesPerTransect,TotalPaniclesA,AvgInflorescencesPerPanicle,transects_per_plant,TotalPaniclesB,TotalInflorescences_A,TotalInflorescences_B,TotalInflorescences_AB,Start.Time,End.Time,Rain,Wind,Cloud,TempF,InsectRichness,Araneae,Chauliognathus,Cerambycidae,Chrysomelidae,Curculionidae,Mordellidae,Scarabaeoidea,Diptera,Bombyliidae,Calliphoridae,Conopidae,Cecidomyiidae,Culicidae,Dolichopodidae,Drosophilidae,Empididae,Muscidae,Oestroidea,Syrphidae_total,Unknown_Bristly_Flies,Tipulidae,Ulidiidae,Hemiptera,Aphididae,Cicadellidae,Miridae,Reduviidae,Hymenoptera,Xylocopa,Andrenidae,Protandrena,Apis.mellifera,Melissodes,Cerceris,Astata,Chrysididae,Hylaeus,Halictidae,Agapostemon,Augochlora,Green.Sweatbee,Halictus,Lasioglossum,Bombus affinis,Bombus auricomus,Bombus impatiens,Bombus bimaculatus,Bombus griseocollis,Bombus vagans,Symmorphus,Eurytoma,Braconidae,Apocrita,Scolia,Sphecius speciosus,Sphex,Vespidae,Dolichovespula.maculata,Dolichovespula,Lepidoptera,Hesperiidae,Celastrina ladon,Epargyreus clarus,Libythean carinenta,Pieris rapae,Polygonia comma,Vanessa atalanta,Notes
1,45483,Jul,11A,E. Braatz,Dharuma,Hydrangea paniculata,5026,Open,4,Lacy panicle,Lacy,,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,0.526388889,0.529861111,0,1,40,73,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2,45483,Jul,11E,E. Braatz,Seaside Serenade Bar,Hydrangea arborescens,19008B,Dense,4,Mop,Mop,,NA,388.8,8.3053,0,0,0,NA,0.582638889,0.586111111,0,2,40,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,45483,Jul,1A,E. Braatz,Strawberry Shake,Hydrangea paniculata,18031B,Very dense,4,Mop-like panicle,Mop,,NA,68.4,4.148843315,0,0,0,NA,0.497222222,0.500694444,0,1,10,72,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
4,45483,Jul,4A,E. Braatz,White Diamonds,Hydrangea paniculata,11045,Half-open,4,Mop-like panicle,Mop,,NA,31,9.0432,0,0,0,NA,0.508333333,0.511805556,0,1,10,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
5,45483,Jul,5A,E. Braatz,Quick Fire,Hydrangea paniculata,5079,Open,4,Lacy panicle,Lacy,,NA,98.6,14.13,0,0,0,NA,0.4875,0.490972222,0,1,10,72,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,45483,Jul,8A,E. Braatz,Mega Pearl,Hydrangea paniculata,1128,Dense,4,Mop-like panicle,Mop,,NA,36.1,8.3053,0,0,0,NA,0.518055556,0.521527778,0,1,40,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,45483,Jul,9A,E. Braatz,Fire & Ice,Hydrangea paniculata,12021,Open,4,Lacy panicle,Lacy,,NA,97.8,6.28,0,0,0,NA,0.477777778,0.490972222,0,1,10,72,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
8,45486,Jul,12F,E. Braatz,White Dome,Hydrangea arborescens,2068,Open,4,Lacy,Lacy,,NA,278.5,#VALUE!,,,,,NA,NA,NA,NA,NA,NA,9,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
9,45490,Jul,10C,E. Braatz,Fire Light,Hydrangea paniculata,14026,Dense,4,Mop-like panicle,Mop,,NA,76.5,8.573195757,0,0,0,NA,0.435416667,0.438888889,0,2,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,45490,Jul,10D,E. Braatz,Daimond Rogue,Hydrangea paniculata,17047,Half-open,4,Mop-like panicle,Mop,,NA,109,9.334897459,0,0,0,NA,0.658333333,0.661805556,0,2,40,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
