Trademark.Cultivar,Month,AvgDays,Group,Color,Flower type
Baby Lace,August,1.333333333,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Baby Lace,August,4.666666667,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Baby Lace,September,2.666666667,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Baby Lace,September,11.66666667,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Baby Lace,October,0.5,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Baby Lace,October,9,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Big Ben,August,0.333333333,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Big Ben,August,1,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Big Ben,September,4,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Big Ben,September,18,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Big Ben,October,3.5,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Big Ben,October,16.5,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Brussels Lace,August,3.666666667,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Brussels Lace,August,11.33333333,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Brussels Lace,September,2,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Brussels Lace,September,19.33333333,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Brussels Lace,October,0.666666667,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Brussels Lace,October,9,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Daimond Rogue,July,1.333333333,Mop-like panicle - Avg # Days Insects Present,Pink-white,Mop-like panicle
Daimond Rogue,July,11.66666667,Mop-like panicle - Avg # Days Insects Not Counted,Pink-white,Mop-like panicle
Daimond Rogue,August,0.666666667,Mop-like panicle - Avg # Days Insects Present,Pink-white,Mop-like panicle
Daimond Rogue,August,16.66666667,Mop-like panicle - Avg # Days Insects Not Counted,Pink-white,Mop-like panicle
Daimond Rogue,September,0,Mop-like panicle - Avg # Days Insects Present,Pink-white,Mop-like panicle
Daimond Rogue,September,29,Mop-like panicle - Avg # Days Insects Not Counted,Pink-white,Mop-like panicle
Daimond Rogue,October,0.333333333,Mop-like panicle - Avg # Days Insects Present,Pink-white,Mop-like panicle
Daimond Rogue,October,7,Mop-like panicle - Avg # Days Insects Not Counted,Pink-white,Mop-like panicle
Dharuma,July,3.666666667,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Dharuma,July,14.66666667,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Dharuma,August,0.333333333,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Dharuma,August,6.333333333,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Dolly,July,0.333333333,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Dolly,July,5,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Dolly,August,1,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Dolly,August,4.333333333,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Dolly,September,0.666666667,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Dolly,September,9.333333333,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Fire & Ice,July,2,Lacy panicle - Avg # Days Insects Present,Pink-white,Lacy panicle
Fire & Ice,July,6.333333333,Lacy panicle - Avg # Days Insects Not Counted,Pink-white,Lacy panicle
Fire & Ice,August,0.666666667,Lacy panicle - Avg # Days Insects Present,Pink-white,Lacy panicle
Fire & Ice,August,2,Lacy panicle - Avg # Days Insects Not Counted,Pink-white,Lacy panicle
Fire Light,August,0.333333333,Mop-like panicle - Avg # Days Insects Present,Pink,Mop-like panicle
Fire Light,August,2.666666667,Mop-like panicle - Avg # Days Insects Not Counted,Pink,Mop-like panicle
Fire Light,September,0.666666667,Mop-like panicle - Avg # Days Insects Present,Pink,Mop-like panicle
Fire Light,September,10.66666667,Mop-like panicle - Avg # Days Insects Not Counted,Pink,Mop-like panicle
Fire Light,October,0.333333333,Mop-like panicle - Avg # Days Insects Present,Pink,Mop-like panicle
Fire Light,October,4.5,Mop-like panicle - Avg # Days Insects Not Counted,Pink,Mop-like panicle
Floribunda,August,2.666666667,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Floribunda,August,9,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Floribunda,September,2.666666667,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Floribunda,September,19.33333333,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Floribunda,October,1,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Floribunda,October,17.5,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Great Star,August,1,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Great Star,August,7.666666667,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Great Star,September,3,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Great Star,September,19.33333333,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Great Star,October,1.666666667,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
Great Star,October,17,Lacy panicle - Avg # Days Insects Not Counted,White,Lacy panicle
Green Spire,August,3.333333333,Lacy panicle - Avg # Days Insects Present,Green-white,Lacy panicle
Green Spire,August,8,Lacy panicle - Avg # Days Insects Not Counted,Green-white,Lacy panicle
Green Spire,September,3.333333333,Lacy panicle - Avg # Days Insects Present,Green-white,Lacy panicle
Green Spire,September,13.33333333,Lacy panicle - Avg # Days Insects Not Counted,Green-white,Lacy panicle
Green Spire,October,1,Lacy panicle - Avg # Days Insects Present,Green-white,Lacy panicle
Green Spire,October,18,Lacy panicle - Avg # Days Insects Not Counted,Green-white,Lacy panicle
Honey Comb,August,4,Lacy panicle - Avg # Days Insects Present,White,Lacy panicle
