Trademark.Cultivar,StandardizedShannon,StandardizedAbundance,StandardizedRichness,StandardizedDays
Annabelle,2,1,1,3
Baby Lace,1,1,3,2
Bella Anna,0,1,2,3
Berry White,3,1,1,3
Big Ben,3,1,1,5
Bobo,3,1,3,3
Bounty,2,1,2,3
Brussels Lace,5,4,3,4
Candy Apple,3,1,4,3
Daimond Rogue,2,1,3,3
Dharuma,3,4,4,3
Dolly,4,2,2,1
Early Evolution ,1,1,3,3
Fire & Ice,5,3,2,1
Fire Light,4,2,5,1
Floribunda,4,1,3,4
Great Star,4,2,4,5
Green Spire,4,5,3,3
Haas Halo,2,3,4,3
Hayes Starburst,0,1,1,3
Honey Comb,3,5,3,4
Incrediball,2,1,4,3
Incredibelle Ruby,2,1,1,3
Invincibelle Spirit,1,1,3,3
Invincibelle Mini Mauvet,0,0,1,3
Invincibelle Wee Whi,0,0,1,3
Kyushu,5,5,3,4
Lime Rickey,0,0,2,3
Limelight,3,2,4,1
Limelight Prime,2,1,3,3
Little Lamb,5,2,3,2
Little Lime,3,1,3,3
Little Lime Punch,1,1,1,3
Little Quick Fire,4,2,4,3
Mega Pearl,4,3,4,4
Phantom,3,2,4,2
Pillow Talk,2,1,1,3
Pink Diamond,5,5,3,2
Pink Lady,3,1,4,3
Pink Pincushion ,0,1,1,3
Pinky Winky,4,2,4,5
Polar Ball,2,1,3,3
Puffer Fish,3,2,3,3
Quick Fire,5,2,4,5
Quick Fire Fabulous,3,1,2,3
Riven Lace,3,1,1,3
Ruby / Angel's Blush,4,3,4,3
Ryan Gainey,0,1,1,3
Seaside Serenade Bar Harbor,1,1,3,3
Silver Dollar,5,1,2,3
Silver Leaf,3,2,4,3
Strawberry Shake,2,1,4,3
Strawberry Sundae,4,3,5,2
Sweet Summer,5,3,3,2
Tickled Pink,3,2,4,1
Vanilla Strawberry,3,2,4,3
White Diamonds,3,5,4,3
White Dome,3,5,3,3
Zinfin Doll,2,1,2,3
