order,family,photo_or_abundance,year
Hymenoptera,Andrenidae,3,2019-2022
Hymenoptera,Andrenidae,1,2019-2022
Hymenoptera,Andrenidae,1,2019-2022
Hymenoptera,Andrenidae,6,2019-2022
Hymenoptera,Andrenidae,4,2019-2022
Hymenoptera,Apidae,71,2019-2022
Hymenoptera,Apidae,4,2019-2022
Hymenoptera,Apidae,1,2019-2022
Hymenoptera,Apidae,1,2019-2022
Hymenoptera,Apidae,16,2019-2022
Hymenoptera,Apidae,20,2019-2022
Hymenoptera,Apidae,11,2019-2022
Hymenoptera,Apidae,12,2019-2022
Hymenoptera,Apidae,2,2019-2022
Hymenoptera,Apidae,41,2019-2022
Hymenoptera,Apidae,2,2019-2022
Hymenoptera,Apidae,3,2019-2022
Hymenoptera,Apidae,9,2019-2022
Hymenoptera,Apidae,7,2019-2022
Hymenoptera,Apidae,16,2019-2022
Hymenoptera,Apidae,18,2019-2022
Hymenoptera,Apidae,1,2019-2022
Hymenoptera,Apidae,11,2019-2022
Hymenoptera,Apidae,1,2019-2022
Hymenoptera,Apidae,1,2019-2022
Hymenoptera,Apidae,1,2019-2022
Hymenoptera,Apidae,3,2019-2022
Hymenoptera,Apidae,6,2019-2022
Hymenoptera,Apidae,11,2019-2022
Hymenoptera,Apidae,4,2019-2022
Hymenoptera,Apidae,4,2019-2022
Hymenoptera,Colletidae,20,2019-2022
Hymenoptera,Colletidae,10,2019-2022
Hymenoptera,Colletidae,12,2019-2022
Hymenoptera,Halictidae,1,2019-2022
Hymenoptera,Halictidae,15,2019-2022
Hymenoptera,Halictidae,9,2019-2022
Hymenoptera,Halictidae,11,2019-2022
Hymenoptera,Halictidae,14,2019-2022
Hymenoptera,Halictidae,3,2019-2022
Hymenoptera,Halictidae,9,2019-2022
Hymenoptera,Halictidae,27,2019-2022
Hymenoptera,Halictidae,26,2019-2022
Hymenoptera,Halictidae,4,2019-2022
Hymenoptera,Megachilidae,1,2019-2022
Hymenoptera,Megachilidae,2,2019-2022
Hymenoptera,Megachilidae,6,2019-2022
Hymenoptera,Megachilidae,1,2019-2022
Hymenoptera,Megachilidae,2,2019-2022
Hymenoptera,Megachilidae,2,2019-2022
Hymenoptera,Megachilidae,1,2019-2022
Hymenoptera,Megachilidae,5,2019-2022
Hymenoptera,Megachilidae,4,2019-2022
Hymenoptera,Melittidae,2,2019-2022
Hymenoptera,Unknown,62,2019-2022
Hymenoptera,Andrenidae,2,2024
Hymenoptera,Andrenidae,6,2024
Hymenoptera,Apidae,280,2024
Hymenoptera,Apidae,15,2024
Hymenoptera,Apidae,2,2024
Hymenoptera,Apidae,0,2024
Hymenoptera,Apidae,3,2024
Hymenoptera,Apidae,243,2024
Hymenoptera,Apidae,1,2024
Hymenoptera,Apidae,15,2024
Hymenoptera,Apidae,14,2024
Hymenoptera,Apidae,1,2024
Hymenoptera,Apidae,2,2024
Hymenoptera,Apocrita (suborder),6,2024
Hymenoptera,Astatidae,1,2024
Hymenoptera,Bembicidae,9,2024
Hymenoptera,Braconidae,2,2024
Hymenoptera,Chrysididae,1,2024
Hymenoptera,Colletidae,26,2024
Hymenoptera,Eurytomidae,1,2024
Hymenoptera,Gasteruptiinae,1,2024
Hymenoptera,Halictidae,8,2024
Hymenoptera,Halictidae,55,2024
Hymenoptera,Halictidae,8,2024
Hymenoptera,Halictidae,46,2024
Hymenoptera,Halictidae,302,2024
Hymenoptera,Halictidae,5,2024
Hymenoptera,Philanthidae,1,2024
Hymenoptera,Sphecidae,26,2024
Hymenoptera,Vespidae,5,2024
Hymenoptera,Vespidae,172,2024
Hymenoptera,Vespidae,1,2024
Hymenoptera,Vespidae,26,2024
Diptera,Syrphidae ,49,2019-2022
Diptera,Unknown ,55,2019-2022
Diptera,Bombyliidae,5,2024
Diptera,Calliphoridae,1,2024
Diptera,Cecidomyiidae,17,2024
Diptera,Conopidae,43,2024
Diptera,Culicidae,1,2024
Diptera,Dolichopodidae,6,2024
Diptera,Drosophilidae,63,2024
Diptera,Empididae,27,2024
Diptera,Muscidae,3,2024
Diptera,Oestroidea,61,2024
Diptera,Syrphidae ,132,2024
Diptera,Tipulidae,76,2024
Diptera,Ulidiidae,1,2024
Diptera,"Unknown Bristly Flies, including Tachinidae",131,2024
Diptera,Unknown ,1,2024
Coleoptera,Unknown Coleoptera,54,2019-2022
Coleoptera,Cerambycidae,2,2024
Coleoptera,Chrysomelidae,6,2024
Coleoptera,Curculionidae,7,2024
Coleoptera,Mordellidae,16,2024
Coleoptera,Scarabaeoidea,3,2024
Lepidoptera,Unknown,38,2019-2022
Lepidoptera,Hesperiidae,8,2024
Lepidoptera,Hesperiidae,1,2024
Lepidoptera,Lycaenidae,1,2024
Lepidoptera,Nymphalidae,1,2024
Lepidoptera,Nymphalidae,3,2024
Lepidoptera,Nymphalidae,2,2024
Lepidoptera,Pieridae,1,2024
Hemiptera,Aphididae,1,2024
Hemiptera,Cicadellidae,1,2024
Hemiptera,Miridae,2,2024
Hemiptera,Reduviidae,3,2024
