NumSurveys,CumulativeSpp
1,0
2,1
3,3
4,5
5,6
6,7
7,7
8,7
9,7
10,7
11,9
12,9
13,12
14,12
15,14
16,14
17,14
18,14
19,14
20,14
21,15
22,17
23,17
24,18
25,19
26,19
27,19
28,20
29,20
30,20
31,27
32,30
33,30
34,30
35,33
36,33
37,33
38,34
39,34
40,34
41,34
42,34
43,34
44,34
45,34
46,34
47,34
48,39
49,40
50,41
51,44
52,47
53,47
54,51
55,51
56,51
57,52
58,57
59,57
60,57
61,58
62,58
63,58
64,58
65,58
66,58
67,58
68,58
69,58
70,59
71,60
72,61
73,61
74,61
75,61
76,61
77,61
78,61
79,61
80,61
81,61
82,61
83,61
84,61
85,61
86,61
87,61
