original_image_file,cropped_image_file,Date,Tag Number,Tag Number 3,det_num,det_confidence,species1,prob1,Human_verified_spp,species2,prob2,species3,prob3,entropy,classification_precision,Species,Trademark/Cultivar,AscensionNumber,EYB_Inflorescence Type,RHS_InflorescentType,Flower Type,False Sepals,Color,SterileFloretLength(in),SterileFloretLength(cm),PanicleLength(in),AvgInflorescencesPerPanicle
Braatz_images\20-07-13_done\B5\apis_mellifera.png,apis_mellifera_1.jpg,2020-07-13,B5,B5,1,0.9032,Apis_mellifera,99.7,Yes,Apis_mellifera,0.1,Osmia,0,0.0247,0.9707,Hydrangea paniculata,Dharuma,5026,Open,Open to half-open,Lacy panicle,4,White,0,,0,
Braatz_images\20-07-27_done\A5\Q7278132.JPG,Q7278132_1.jpg,2020-07-27,A5,A5,1,0.9001,Wasp,100,Yes,Syrphidae,0,Megachile_sculpturalis,0,0.0051,0.9575,Hydrangea paniculata,Quick Fire,5079,Open,0,Lacy panicle,4,Pink,1.25,,4,
Braatz_images\20-08-19_done\A6\Q8190109.JPG,Q8190109_1.jpg,2020-08-19,A6,A6,1,0.9037,Wasp,100,Yes,Sphecodes,0,Coleoptera,0,0.0002,0.9575,Hydrangea paniculata,Honey Comb,11031,Open,0,Lacy panicle,4,White,2,,12,
Braatz_images\20-08-26_done\C3\Q8260728.JPG,Q8260728_1.jpg,2020-08-26,C3,C3,1,0.9063,Wasp,99.9,Yes,Megachile_sculpturalis,0,Melissodes_bimaculatus,0,0.0058,0.9575,Hydrangea paniculata,Quick Fire,14011,Open,0,Lacy panicle,4,Pink,1.25,,4,
Braatz_images\20-08-28_done\B8\Q8280788.JPG,Q8280788_1.jpg,2020-08-28,B8,B8,1,0.9122,Wasp,100,Yes,Coleoptera,0,Hylaeus,0,0,0.9575,Hydrangea paniculata,Quick Fire,5079,Open,0,Lacy panicle,4,Pink,1.25,,5,
Braatz_images\20-08-31_done\A6\wasp.png,wasp_1.jpg,2020-08-31,A6,A6,1,0.9172,Wasp,88.2,Yes,Hylaeus_modestus,4.4,Syrphidae,2.5,0.5893,0.9575,Hydrangea paniculata,Honey Comb,11031,Open,0,Lacy panicle,4,White,2,,12,
Braatz_images\20-09-02_done\B21\Q9021318.JPG,Q9021318_1.jpg,2020-09-02,B21,B21,1,0.9052,Wasp,100,Yes,Coleoptera,0,Syrphidae,0,0.0019,0.9575,Hydrangea paniculata,Great Star,12020,Very dense,Half-open,Lacy panicle,4,White,3.25,,11,
Braatz_images\20-09-18_done\C16\wasp.png,wasp_1.jpg,2020-09-18,C16,C16,1,0.9303,Wasp,88.2,Yes,Hylaeus_modestus,4.4,Syrphidae,2.5,0.5893,0.9575,Hydrangea paniculata,Quick Fire,14001,Open,0,Lacy panicle,4,Pink,1.25,,4,
Braatz_images\2019_07_19_done\5A\apis_mellifera.png,apis_mellifera_1.jpg,2019-07-19,A5,A5,1,0.9234,Apis_mellifera,99.7,Yes,Apis_mellifera,0.1,Osmia,0,0.0247,0.9707,Hydrangea paniculata,Quick Fire,5079,Open,0,Lacy panicle,4,Pink,1.25,,4,
Braatz_images\2019_07_26_done\5B\apis_mellifera.png,apis_mellifera_1.jpg,2019-07-26,B5,B5,1,0.9129,Apis_mellifera,99.7,Yes,Apis_mellifera,0.1,Osmia,0,0.0247,0.9707,Hydrangea paniculata,Dharuma,5026,Open,Open to half-open,Lacy panicle,4,White,0,,0,
Braatz_images\2019_08_02_done\10D\P8020998.JPG,P8020998_1.jpg,2019-08-02,D10,D10,1,0.9034,Wasp,100,Yes,Coleoptera,0,Sphecodes,0,0.0006,0.9575,Hydrangea paniculata,Daimond Rogue,17047,Half-open,0,Mop-like panicle,4,Pink-white,0,,0,
Braatz_images\2019_08_07_done\5A\P8071135.JPG,P8071135_1.jpg,2019-08-07,A5,A5,1,0.9093,Wasp,100,Yes,Coleoptera,0,Sphecodes,0,0.0035,0.9575,Hydrangea paniculata,Quick Fire,5079,Open,0,Lacy panicle,4,Pink,1.25,,4,
Braatz_images\2019_08_23_done\6A\P8231442.JPG,P8231442_1.jpg,2019-08-23,A6,A6,1,0.9046,Bombus_impatiens,98.9,Yes,Xylocopa_virginica,0.2,Bombus_wilmattae,0.2,0.0934,0.9491,Hydrangea paniculata,Honey Comb,11031,Open,0,Lacy panicle,4,White,2,,12,
Braatz_images\2019_08_23_done\6B\P8231524.JPG,P8231524_1.jpg,2019-08-23,B6,B6,1,0.9133,Wasp,100,Yes,Coleoptera,0,Sphecodes,0,0.0002,0.9575,Hydrangea paniculata,Mega Pearl,1128,Half-open,Half-open,Lacy panicle,4,Pink-white,0,,0,
Braatz_images\2019_08_23_done\7A\P8231479.JPG,P8231479_1.jpg,2019-08-23,A7,A7,1,0.9257,Augochloropsis,99.9,Yes,Augochlora,0.1,Augochlorella,0,0.0068,0.8985,Hydrangea paniculata,Tickled Pink,11044,Half-open,0,Lacy panicle,4,Pink-white,1.25,,12,
Braatz_images\2019_08_23_done\7A\P8231481.JPG,P8231481_1.jpg,2019-08-23,A7,A7,1,0.9017,Augochloropsis,71.9,Yes,Augochlora,27.1,Augochlorella,1,0.6429,0.8985,Hydrangea paniculata,Tickled Pink,11044,Half-open,0,Lacy panicle,4,Pink-white,1.25,,12,
Braatz_images\2019_09_05_done\13B\P9052530.JPG,P9052530_1.jpg,2019-09-05,B13,B13,1,0.9021,Bombus_impatiens,91.9,Yes,Bombus_bimaculatus,3.6,Bombus_griseocollis,2.7,0.3864,0.9491,Hydrangea paniculata,Pinky Winky,7045,Dense,Dense,Lacy panicle,5,Pink-white,1.25,,11,
Braatz_images\2019_09_05_done\1D\P9052647.JPG,P9052647_1.jpg,2019-09-05,D1,D1,1,0.9098,Wasp,99.9,Yes,Syrphidae,0.1,Hyleoides,0,0.0068,0.9575,Hydrangea paniculata,Floribunda,87273-0,Open,Half-open,Lacy panicle,4,White,0,,0,243
Braatz_images\2019_09_23_done\3C\P9233303.JPG,P9233303_1.jpg,2019-09-23,C3,C3,1,0.9009,Wasp,100,,Coleoptera,0,Hylaeus,0,0.0003,0.9575,Hydrangea paniculata,Quick Fire,14011,Open,0,Lacy panicle,4,Pink,1.25,,4,542.8
Braatz_images\2019_09_26_done\18B\P9263679.JPG,P9263679_1.jpg,2019-09-26,B18,B18,1,0.9278,Wasp,100,,Coleoptera,0,Sphecodes,0,0.0003,0.9575,Hydrangea paniculata,Big Ben,1126,Dense,Half-open,Lacy panicle,4,White,1.5,,10,NA
Braatz_images\2019_09_26_done\18B\P9263680.JPG,P9263680_1.jpg,2019-09-26,B18,B18,1,0.9103,Wasp,100,,Coleoptera,0,Sphecodes,0,0.0004,0.9575,Hydrangea paniculata,Big Ben,1126,Dense,Half-open,Lacy panicle,4,White,1.5,,10,NA
Braatz_images\2019_09_26_done\18B\P9263793.JPG,P9263793_1.jpg,2019-09-26,B18,B18,1,0.9048,Coleoptera,99.9,,Wasp,0.1,Syrphidae,0,0.0108,0.9916,Hydrangea paniculata,Big Ben,1126,Dense,Half-open,Lacy panicle,4,White,1.5,,10,NA
Braatz_images\2019_09_30_done\1C\fly.png,fly_1.jpg,2019-09-30,C1,C1,1,0.9203,Syrphidae,99.8,,Diptera,0.2,Coleoptera,0,0.0211,0.9836,Hydrangea paniculata,Ruby,98053,Half-open,0,Mop-like panicle,NA,Pink,0,,0,46.2
Braatz_images\2019_09_30_done\2020_07_16_B5_Q7167223_apis_mellifera.png,2020_07_16_B5_Q7167223_apis_mellifera_1.jpg,2019-09-30,#VALUE!,,1,0.9111,Apis_mellifera,95,,Xylocopa_tenuiscapa,1,Syrphidae,0.8,0.3476,0.9707,,,,,,,,,,,,
Braatz_images\2019_09_30_done\2020_08_03_Q8038654_rufo_male_unknown.png,2020_08_03_Q8038654_rufo_male_unknown_1.jpg,2019-09-30,#VALUE!,,1,0.9103,Bombus_citrinus,84.3,,Bombus_rufocinctus,13.8,Bombus_insularis,0.8,0.5243,0.9618,,,,,,,,,,,,
Braatz_images\2019_09_30_done\2020_08_03_Q8038654_rufo_unknown_same_individual.png,2020_08_03_Q8038654_rufo_unknown_same_individual_1.jpg,2019-09-30,#VALUE!,,1,0.9245,Bombus_citrinus,74.3,,Bombus_rufocinctus,13.2,Bombus_insularis,11.2,0.8184,0.9618,,,,,,,,,,,,
Braatz_images\2019_09_30_done\2020_08_03_Q8038671_apis_mellifera.png,2020_08_03_Q8038671_apis_mellifera_1.jpg,2019-09-30,#VALUE!,,1,0.9081,Apis_mellifera,98.7,,Megachile_perihirta,0.5,Megachile,0.2,0.0992,0.9707,,,,,,,,,,,,
Braatz_images\2019_09_30_done\4A\P9303829.JPG,P9303829_1.jpg,2019-09-30,A4,A4,1,0.9002,Bombus_impatiens,97.1,,Bombus_affinis,1.3,Bombus_bimaculatus,1.1,0.1674,0.9491,Hydrangea paniculata,White Diamonds,11045,Half-open,0,Mop-like panicle,4,White,2,,8,31
Braatz_images\2019_09_30_done\4A\P9303830.JPG,P9303830_1.jpg,2019-09-30,A4,A4,1,0.9042,Bombus_impatiens,96.7,,Bombus_bimaculatus,2.9,Bombus_affinis,0.2,0.1597,0.9491,Hydrangea paniculata,White Diamonds,11045,Half-open,0,Mop-like panicle,4,White,2,,8,31
Braatz_images\2019_09_30_done\4A\P9303831.JPG,P9303831_1.jpg,2019-09-30,A4,A4,1,0.9092,Bombus_impatiens,99.3,,Bombus_bimaculatus,0.6,Bombus_griseocollis,0,0.05,0.9491,Hydrangea paniculata,White Diamonds,11045,Half-open,0,Mop-like panicle,4,White,2,,8,31
Braatz_images\2019_09_30_done\4A\P9303838.JPG,P9303838_1.jpg,2019-09-30,A4,A4,1,0.9111,Bombus_impatiens,98.6,,Bombus_affinis,1,Bombus_bimaculatus,0.2,0.0877,0.9491,Hydrangea paniculata,White Diamonds,11045,Half-open,0,Mop-like panicle,4,White,2,,8,31
Braatz_images\2019_10_14_done\3C\fly5_from_movie.png,fly5_from_movie_1.jpg,2019-10-14,C3,C3,1,0.9135,Syrphidae,99,,Diptera,1,Xylocopa,0,0.0551,0.9836,Hydrangea paniculata,Quick Fire,14011,Open,0,Lacy panicle,4,Pink,1.25,,4,542.8
