"","X","original_image_file","Date","Tag","cropped_image_file","det_num","det_confidence","prob1","combination","species1","humanID","HumanAndComputerAgree","species2","prob2","species3","prob3","entropy","classification_precision"
"1",1,"Braatz_images\20-07-10_done\A1\Q7106533.JPG","","","Q7106533_1.jpg",1,0.2548,78.1,19.89988,"Lepidoptera","None","No","Xylocopa_aestuans",12.9,"Xylocopa_latipes",3.2,0.8479,0.9686
"2",4,"Braatz_images\20-07-10_done\A1-1\Q7106535.JPG","","","Q7106535_1.jpg",1,0.3432,21.6,7.41312,"Osmia_bicolor","None","No","Bombus_ardens",16.6,"Melissodes_bimaculatus",13.7,2.7949,0.916
"3",6,"Braatz_images\20-07-10_done\A1-1\Q7106536.JPG","","","Q7106536_1.jpg",1,0.7279,99.5,72.42605,"Diptera","Diptera","Yes","Syrphidae",0.5,"Coleoptera",0,0.0303,0.9755
"4",NA,"","7/10/2020","A9",NA,NA,NA,NA,NA,"0","0","Yes",NA,NA,NA,NA,NA,NA
"5",9,"Braatz_images\20-07-10_done\A11\Q7106553.JPG","","","Q7106553_1.jpg",1,0.857,100,85.7,"Bombus_affinis","Bombus_affinis","Yes","Bombus_vagans_sandersoni",0,"Bombus_hypocrita",0,4e-04,0.9677
"6",10,"Braatz_images\20-07-10_done\A11\Q7106554.JPG","","","Q7106554_1.jpg",1,0.8148,94.5,76.9986,"Wasp","Wasp","Yes","Syrphidae",3.6,"Coleoptera",0.9,0.2832,0.9575
"7",12,"Braatz_images\20-07-10_done\A11\Q7106555.JPG","","","Q7106555_1.jpg",1,0.8201,99.1,81.27191,"Wasp","Wasp","Yes","Hylaeus",0.7,"Sphecodes",0.1,0.0601,0.9575
"8",13,"Braatz_images\20-07-10_done\A11\Q7106556.JPG","","","Q7106556_1.jpg",1,0.8243,98.4,81.11112,"Wasp","Wasp","Yes","Syrphidae",1.6,"Hylaeus",0,0.0867,0.9575
"9",14,"Braatz_images\20-07-10_done\A11\Q7106557.JPG","","","Q7106557_1.jpg",1,0.7245,98.5,71.36325,"Syrphidae","Unknown","No","Wasp",1.1,"Diptera",0.3,0.0872,0.9836
"10",15,"Braatz_images\20-07-10_done\A11\Q7106558.JPG","","","Q7106558_1.jpg",1,0.7276,94.1,68.46716,"Wasp","Wasp","Yes","Syrphidae",5.9,"Meliponini",0,0.2252,0.9575
"11",16,"Braatz_images\20-07-10_done\A11\Q7106559.JPG","","","Q7106559_1.jpg",1,0.6572,64.6,42.45512,"Halictus_tripartitus","Bee","Reduced","Lasioglossum",32.9,"Hylaeus_leptocephalus",0.8,0.7955,0.7959
"12",17,"Braatz_images\20-07-10_done\A11\Q7106560.JPG","","","Q7106560_1.jpg",1,0.6213,71.2,44.23656,"Lasioglossum","Bee","Reduced","Halictus_tripartitus",18.9,"Ceratina",5.3,0.925,0.9521
"13",18,"Braatz_images\20-07-10_done\A11\Q7106561.JPG","","","Q7106561_1.jpg",1,0.6118,100,61.18,"Hylaeus_leptocephalus","Bee","Reduced","Hylaeus",0,"Lasioglossum",0,0.002,0.844
"14",20,"Braatz_images\20-07-10_done\A11\Q7106562.JPG","","","Q7106562_1.jpg",1,0.6055,62.6,37.9043,"Halictus_tripartitus","Bee","Reduced","Meliponini",26.1,"Lasioglossum",6.3,1.0387,0.7959
"15",21,"Braatz_images\20-07-10_done\A11\Q7106563.JPG","","","Q7106563_1.jpg",1,0.7163,95.6,68.47828,"Coleoptera","Coleoptera","Yes","Syrphidae",2.9,"Agapostemon_splendens",0.6,0.2356,0.9916
