Trademark.Cultivar,Date,species1,species_count
Baby Lace,2019-09-19,Anthophora_abrupta,1
Baby Lace,2019-09-19,Bombus_impatiens,5
Baby Lace,2019-09-23,Apis_mellifera,1
Baby Lace,2019-09-24,Apis_mellifera,4
Baby Lace,2019-09-24,Wasp,1
Baby Lace,2019-09-26,Apis_mellifera,5
Baby Lace,2019-09-26,Diptera,3
Baby Lace,2019-09-26,Lepidoptera,1
Baby Lace,2019-09-26,Syrphidae,3
Baby Lace,2019-10-19,Bombus_impatiens,14
Baby Lace,2020-08-26,Apis_mellifera,1
Baby Lace,2020-08-26,Syrphidae,2
Baby Lace,2020-08-28,Apis_mellifera,1
Baby Lace,2020-08-28,Bombus_impatiens,5
Baby Lace,2020-09-02,Apis_mellifera,3
Baby Lace,2020-09-02,Bombus_impatiens,4
Baby Lace,2020-09-16,Apis_mellifera,2
Baby Lace,2020-09-16,Bombus_impatiens,2
Baby Lace,2020-09-16,Diptera,3
Baby Lace,2020-09-18,Apis_mellifera,2
Baby Lace,2020-09-18,Diptera,1
Baby Lace,2020-09-18,Syrphidae,1
Baby Lace,2020-09-18,Wasp,1
Baby Lace,2020-09-21,Diptera,2
Baby Lace,2020-09-21,Syrphidae,1
Baby Lace,2020-09-23,Apis_mellifera,1
Baby Lace,2020-09-23,Diptera,1
Baby Lace,2020-09-25,Apis_mellifera,1
Baby Lace,2021-08-10,Apis_mellifera,1
Baby Lace,2021-08-10,Coleoptera,1
Baby Lace,2021-08-19,Apis_mellifera,1
Baby Lace,2021-08-19,Bombus_impatiens,6
Baby Lace,2021-08-19,Bombus_rufocinctus,1
Big Ben,2019-09-05,Apis_mellifera,1
Big Ben,2019-09-05,Bombus_impatiens,3
Big Ben,2019-09-05,Lepidoptera,3
Big Ben,2019-09-05,Wasp,9
Big Ben,2019-09-19,Apis_mellifera,1
Big Ben,2019-09-19,Bombus_griseocollis,1
Big Ben,2019-09-19,Bombus_impatiens,5
Big Ben,2019-09-23,Apis_mellifera,2
Big Ben,2019-09-23,Augochlora,1
Big Ben,2019-09-23,Augochloropsis,6
Big Ben,2019-09-23,Coleoptera,2
Big Ben,2019-09-23,Syrphidae,1
Big Ben,2019-09-23,Wasp,5
Big Ben,2019-09-24,Apis_mellifera,6
Big Ben,2019-09-24,Coleoptera,4
Big Ben,2019-09-24,Halictus,1
Big Ben,2019-09-24,Lepidoptera,18
Big Ben,2019-09-24,Nomada,1
Big Ben,2019-09-24,Syrphidae,4
Big Ben,2019-09-24,Wasp,5
Big Ben,2019-09-26,Apis_dorsata,1
Big Ben,2019-09-26,Apis_mellifera,5
Big Ben,2019-09-26,Bombus_impatiens,4
Big Ben,2019-09-26,Coleoptera,1
Big Ben,2019-09-26,Diptera,2
Big Ben,2019-09-26,Lepidoptera,7
Big Ben,2019-09-26,Wasp,2
Big Ben,2019-09-30,Apis_mellifera,1
Big Ben,2019-09-30,Augochlora,1
Big Ben,2019-09-30,Bombus_impatiens,9
Big Ben,2019-09-30,Ceratina,2
Big Ben,2019-09-30,Coleoptera,1
Big Ben,2019-09-30,Diptera,13
Big Ben,2019-09-30,Halictus_tripartitus,1
Big Ben,2019-09-30,Hylaeus,1
Big Ben,2019-09-30,Hylaeus_leptocephalus,1
Big Ben,2019-09-30,Lasioglossum,1
Big Ben,2019-09-30,Lepidoptera,2
Big Ben,2019-09-30,Syrphidae,14
Big Ben,2019-09-30,Wasp,1
Big Ben,2019-10-08,Apis_mellifera,17
