Row Labels,Sum of Count 
<7/11/2019,
2019,29
2020,26
Jul,5
7/10/2020,1
7/13/2020,1
7/16/2020,1
7/20/2020,1
7/27/2020,1
Aug,6
8/19/2020,1
8/21/2020,1
8/24/2020,1
8/26/2020,1
8/28/2020,1
8/31/2020,1
Sep,9
9/2/2020,1
9/14/2020,1
9/16/2020,1
9/18/2020,1
9/21/2020,1
9/23/2020,1
9/25/2020,1
9/28/2020,1
9/30/2020,1
Oct,6
10/2/2020,1
10/7/2020,1
10/9/2020,1
10/14/2020,1
10/16/2020,1
10/21/2020,1
2021,17
Jul,3
7/9/2021,1
7/15/2021,1
7/16/2021,1
Aug,9
8/2/2021,1
8/5/2021,1
8/10/2021,1
8/12/2021,1
8/17/2021,1
8/19/2021,1
8/24/2021,1
8/26/2021,1
8/31/2021,1
Sep,5
9/2/2021,1
9/8/2021,1
9/9/2021,1
9/14/2021,1
9/16/2021,1
Grand Total,72
