Trademark.Cultivar,Shannon Index,2024 Taxa Abundance,2024 Taxa Richness,Taxa Richness,Bug Days,Flower type,Color,BloomStart,BloomEnd,Height (ft),Spread (ft),Sun ,Water,Maintenance,Source,Note
Pinky Winky,1.112,40,9,3.7,25,Lacy panicle,Pink-white,2020-07-01,2020-09-01,6 to 8 ,5 to 6,Full sun to part shade,Medium,Medium ,https://www.missouribotanicalgarden.org,
Green Spire,1.150,80,4,3.52,23,Lacy panicle,Green-white,2020-08-01,2020-10-01,6 to 10 ,6 to 10 ,Full sun to part sun ,Medium ,Low ,https://www.gardenia.net/plant/hydrangea-paniculata-greenspire,Could not find a bloom time so used our own data for it 
Quick Fire,1.423,26,9,3.75,33,Lacy panicle,Pink,2020-07-01,2020-10-01,6 to 8 ,6 to 8 ,Sun to part shade,,N/A,https://www.petittigardencenter.com/quick-fire-a-panicle-hydrangea-variety-spotlight/,End bloom time wasn't available online; used our data for that 
Kyushu,1.441,54,5,3.52,19,Lacy panicle,White,2020-05-01,2020-10-01,6 to 8 ,6 to 8 ,Full sun to part shade,Medium,N/A,https://www.chicagobotanic.org/plantcollections/plantfinder/hydrangea_paniculata_kyushu--kyushu_panicle_hydrangea and https://hydrangeasplus.com/products/hydrangea-paniculata-kyushu?srsltid=AfmBOoppDF-Qk1uw-TcabnNQSop8sVqaT7Z2uEnE51IyVpV1DF6uhEKi,
Late / Tardiva,1.112,31.5,7,3.56,19,Lacy panicle,White,2020-07-01,2020-09-01,8 to 12 ,7 to 10 ,Full sun to part shade,Medium,Medium ,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d360,
Brussels Lace,1.580,43,5,3.46,19,Lacy panicle,White,2020-07-01,2020-10-01,5,6,Full sun to part shade,Medium high,N/A,https://www.chicagobotanic.org/plantcollections/plantfinder/hydrangea_paniculata_brussels_lace--brussels_lace_panicle_hydrangea,
Pink Diamond,1.561,66,4,2.9,17,Lacy panicle,Pink,2020-07-01,2020-09-01,8 to 15,8 to 15,Full sun to part shade,Medium,Medium ,https://www.missouribotanicalgarden.org,
White Dome,0.753,54,4,3.425,16.5,Lacy,White,2020-06-01,2020-08-01,3 to 5,3 to 4,Part shade,Medium,Low,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=264083&isprofile=0&,
Dharuma,0.807,43,8,7.17,12,Lacy panicle,White,2020-07-01,2020-09-01,3 to 4,3 to 4,Full sun to part shade,Medium,N/A,https://www.northshoreplantclub.com/plant?id=7267,
Honey Comb,0.979,50,4,3.76,16,Lacy panicle,White,2020-07-01,2020-10-01,15,7,Full sun to full shade,N/A,Medium ,http://plants.beechwood-gardens.com/12130013/Plant/16553/Honeycomb_Hydrangea/,"Could not find exact bloom time, used our data "
Haas Halo,0.596,36,7,3.425,16.5,Lacy,White,2020-06-01,2020-07-01,7,7,Full sun to full shade ,N/A,N/A,https://mtcubacenter.org/trials/wild-hydrangea-for-the-mid-atlantic-region/hydrangea-arborescens-haas-halo/,
